id,date,channel,user_type,content,category,sentiment,severity_hint,auto_priority,priority_mismatch
F001,2026-05-04,슬랙,유료,로그인 시 2단계 인증을 강제로 적용하려면 어디서 설정하나요?,사용문의,중립,낮음,낮음,N
F002,2026-05-05,슬랙,유료,처음엔 반신반의했는데 한 달 써보고 팀 전원 유료로 전환했습니다. 만족해요.,칭찬,긍정,낮음,낮음,N
F003,2026-05-06,CS티켓,유료,간트차트에서 작업 기간을 늘리면 다른 작업 날짜까지 같이 밀립니다.,버그신고,부정,보통,보통,N
F004,2026-05-07,앱스토어,유료,엑셀로 내보낼 때 필터 적용된 상태 그대로 내보내는 옵션을 추가해주세요.,기능요청,중립,낮음,낮음,N
F005,2026-05-08,인앱설문,무료,API 문서를 더 자세히 제공해주세요. 연동 개발할 때 예제가 부족합니다.,기능요청,중립,보통,보통,N
F006,2026-05-09,인앱설문,유료,결제했는데 유료 플랜이 적용 안 되고 돈만 두 번 빠져나갔습니다. 사흘째 연락도 안 되네요. 당장 환불 안 되면 카드사에 분쟁 접수하겠습니다.,결제/과금 오류,부정,높음,높음,N
F007,2026-05-10,인앱설문,무료,기업 고객용 대시보드에 팀별 사용량 통계를 제공해주세요. 라이선스 관리에 필요합니다.,기능요청,중립,보통,보통,N
F008,2026-05-11,슬랙,유료,문서 글꼴과 글자 크기를 사용자가 조절할 수 있게 해주세요.,기능요청,중립,낮음,낮음,N
F009,2026-05-12,앱스토어,무료,결제 갱신일이 잘못 계산돼서 한 달 일찍 청구됐습니다.,결제/과금 오류,부정,보통,보통,N
F010,2026-05-13,CS티켓,유료,팀 멤버를 초대하려면 어떻게 하나요? 초대 절차를 알려주세요.,기능요청,중립,낮음,낮음,N
F011,2026-05-14,인앱설문,유료,기능이 많은데도 복잡하지 않게 정리돼 있어서 학습 곡선이 완만했어요.,칭찬,긍정,낮음,낮음,N
F012,2026-05-15,슬랙,유료,알림 배지 숫자가 0인데 안 사라집니다. 읽음 처리를 해도 빨간 점이 남아요.,버그신고,부정,낮음,낮음,N
F013,2026-05-16,인앱설문,무료,무료 체험 기간은 며칠인가요? 카드 등록 없이 써볼 수 있나요?,결제/과금,중립,낮음,낮음,N
F014,2026-05-17,인앱설문,기업고객,모바일 위젯으로 오늘 할 일을 바로 봐서 아침마다 정리가 편해요. 좋습니다.,칭찬,긍정,낮음,낮음,N
F015,2026-05-18,슬랙,기업고객,타사 대비 가격이 합리적인데 기능은 더 풍부해서 가성비가 훌륭합니다.,칭찬,긍정,낮음,낮음,N
F016,2026-05-19,슬랙,무료,다크모드를 지원해주시면 좋겠습니다. 밤에 작업할 때 눈이 너무 부셔요.,기능요청,중립,낮음,낮음,N
F017,2026-05-20,앱스토어,무료,간트차트 기능 정말 잘 쓰고 있습니다. 프로젝트 일정 관리가 한결 편해졌어요.,칭찬,긍정,낮음,낮음,N
F018,2026-05-21,CS티켓,유료,캘린더를 구글 캘린더로 내보내려면 어떻게 하나요?,사용문의,중립,낮음,낮음,N
F019,2026-05-22,앱스토어,기업고객,작업 알림 시간을 한국 시간 기준으로 맞추려면 어디서 설정하나요?,사용문의,중립,낮음,낮음,N
F020,2026-05-23,슬랙,무료,계정 보안을 위해 로그인 기록을 확인할 수 있는 곳이 있나요?,사용문의,중립,낮음,낮음,N
F021,2026-05-24,슬랙,유료,작업 보드를 즐겨찾기로 등록해서 빠르게 접근하는 기능을 원합니다.,기능요청,중립,낮음,낮음,N
