id,channel,content_summary,category,sentiment
F001,슬랙,로그인 시 2단계 인증을 강제로 적용하려면 어디서 설정...,일반문의,중립
F002,슬랙,처음엔 반신반의했는데 한 달 써보고 팀 전원 유료로 전...,칭찬,긍정
F003,CS티켓,간트차트에서 작업 기간을 늘리면 다른 작업 날짜까지 같...,버그,부정
F004,앱스토어,엑셀로 내보낼 때 필터 적용된 상태 그대로 내보내는 옵...,기능요청,중립
F005,인앱설문,API 문서를 더 자세히 제공해주세요. 연동 개발할 때...,기능요청,중립
F006,인앱설문,결제했는데 유료 플랜이 적용 안 되고 돈만 두 번 빠져...,버그,부정
F007,인앱설문,기업 고객용 대시보드에 팀별 사용량 통계를 제공해주세요...,기능요청,중립
F008,슬랙,문서 글꼴과 글자 크기를 사용자가 조절할 수 있게 해주...,기능요청,중립
F009,앱스토어,결제 갱신일이 잘못 계산돼서 한 달 일찍 청구됐습니다.,버그,부정
F010,CS티켓,팀 멤버를 초대하려면 어떻게 하나요? 초대 절차를 알려...,기능요청,중립
F011,인앱설문,기능이 많은데도 복잡하지 않게 정리돼 있어서 학습 곡선...,칭찬,긍정
F012,슬랙,알림 배지 숫자가 0인데 안 사라집니다. 읽음 처리를 ...,버그,부정
F013,인앱설문,무료 체험 기간은 며칠인가요? 카드 등록 없이 써볼 수...,일반문의,중립
F014,인앱설문,모바일 위젯으로 오늘 할 일을 바로 봐서 아침마다 정리...,칭찬,긍정
F015,슬랙,타사 대비 가격이 합리적인데 기능은 더 풍부해서 가성비...,칭찬,긍정
F016,슬랙,다크모드를 지원해주시면 좋겠습니다. 밤에 작업할 때 눈...,기능요청,중립
F017,앱스토어,간트차트 기능 정말 잘 쓰고 있습니다. 프로젝트 일정 ...,칭찬,긍정
F018,CS티켓,캘린더를 구글 캘린더로 내보내려면 어떻게 하나요?,일반문의,중립
F019,앱스토어,작업 알림 시간을 한국 시간 기준으로 맞추려면 어디서 ...,일반문의,중립
F020,슬랙,계정 보안을 위해 로그인 기록을 확인할 수 있는 곳이 ...,일반문의,중립
F021,슬랙,작업 보드를 즐겨찾기로 등록해서 빠르게 접근하는 기능을...,기능요청,중립
F022,슬랙,결제 대시보드에서 다음 갱신일과 예상 청구액을 미리 보...,일반문의,중립
F023,앱스토어,문서 권한을 '댓글만 가능'으로 세분화해주세요. 보기/...,기능요청,중립
F024,인앱설문,같은 알림이 5번씩 중복으로 옵니다. 슬랙 연동 후부터...,버그,부정
F025,슬랙,앱 알림이 오는데 어떤 활동에서 온 건지 한눈에 보려면...,일반문의,중립
F026,앱스토어,어제 업데이트 후 저장한 문서 수십 개가 전부 사라졌습...,버그,부정
F027,슬랙,알림 다이제스트 기능이 생긴 뒤로 집중 시간이 늘었어요...,칭찬,긍정
F028,앱스토어,회의록 작성 시 참석자를 멘션하면 자동으로 작업이 배정...,기능요청,중립
F029,앱스토어,결제 과정이 깔끔하고 영수증 처리도 자동이라 회계 업무...,일반문의,긍정
F030,인앱설문,일정 반복 설정에서 '매월 마지막 날'을 고르면 날짜가...,버그,부정
F031,슬랙,댓글을 달면 두 번씩 등록됩니다. 중복 댓글이 계속 생...,버그,부정
F032,CS티켓,간트차트에서 작업을 그룹(섹션)으로 접고 펼 수 있게 ...,기능요청,중립
F033,앱스토어,엑셀 내보내기를 하면 한글이 전부 깨져서 다운로드됩니다...,버그,부정
F034,인앱설문,모바일에서 첨부파일 다운로드가 안 됩니다. 버튼을 눌러...,버그,부정
F035,슬랙,"기업 관리자가 멤버 비밀번호 정책(복잡도, 변경주기)을...",기능요청,중립
F036,인앱설문,문서에서 멘션한 사람에게만 알림이 가도록 세밀하게 조정...,기능요청,중립
F037,CS티켓,팀 통계 대시보드 숫자가 실제 데이터랑 안 맞습니다. ...,버그,부정
F038,슬랙,검색 기능이 먹통입니다. 키워드를 넣어도 결과가 0건으...,버그,부정
F039,앱스토어,대시보드를 팀별로 커스터마이징할 수 있게 해주세요. 위...,기능요청,중립
F040,CS티켓,작업 알림 메일에 바로 '완료 처리' 버튼을 넣어주세요...,기능요청,중립
F041,앱스토어,공유 링크로 접속하면 '권한 없음'이 뜹니다. 분명 전...,버그,부정
F042,인앱설문,템플릿을 불러오면 한글 제목이 물음표로 깨져서 들어옵니...,버그,부정
F043,CS티켓,댓글에 파일을 첨부할 수 있게 해주세요. 지금은 텍스트...,기능요청,중립
F044,CS티켓,회원 탈퇴를 했는데도 결제가 또 청구됐습니다. 구독이 ...,버그,부정
F045,인앱설문,기업 고객으로 전환하면 멤버 수 제한이 어떻게 되나요?...,일반문의,중립
F046,CS티켓,로그인 자체가 막혀서 팀 전체가 사흘째 업무를 못 하고...,일반문의,부정
F047,슬랙,자동 저장이 작동을 안 해서 새로고침할 때마다 작업이 ...,버그,부정
F048,CS티켓,작업에 반복 알림(스누즈) 기능을 넣어주세요. 한 번 ...,기능요청,중립
F049,인앱설문,무료에서 유료로 올리면 기존 데이터가 그대로 유지되나요...,일반문의,중립
F050,슬랙,게스트(외부) 계정도 비용에 포함되나요? 협력사 인원 ...,일반문의,중립
F051,인앱설문,캘린더에서 드래그로 일정 길이를 조절할 수 있게 해주세...,기능요청,중립
F052,슬랙,파일 업로드가 50%에서 계속 멈춥니다. 10MB짜리 ...,버그,부정
F053,인앱설문,문서 공유 링크를 비밀번호로 보호할 수 있나요?,일반문의,중립
F054,CS티켓,알림을 '나에게만 보이는 개인 메모' 형태로도 남길 수...,기능요청,중립
F055,CS티켓,고객센터 챗봇이 의외로 똑똑해서 웬만한 건 바로 해결됩...,칭찬,긍정
F056,미확인,문서 저장 버튼을 눌렀는데 작성하던 내용이 통째로 날아...,버그,부정
F057,앱스토어,파일 버전 관리 기능을 추가해주세요. 수정 전 파일로 ...,기능요청,중립
F058,슬랙,작업 카드에서 바로 화상통화를 시작하는 버튼을 원합니다...,일반문의,중립
F059,CS티켓,작업을 다른 팀원에게 일괄로 재배정하는 방법이 있나요?,일반문의,중립
F060,인앱설문,팀 워크스페이스 통계를 외부 BI 도구(태블로)로 연동...,기능요청,중립
F061,인앱설문,협업 기능 덕분에 이메일 주고받는 시간이 절반으로 줄었...,칭찬,긍정
F062,CS티켓,팀원 모두가 만족하는 툴 찾기 어려운데 이건 불만이 거...,칭찬,긍정
